CID,Province,Revenue,Employees,Total_Asset,Profit,ROA,ROE,P.L.O,ROI,ROS,Debt.Equity.,CL.TA,L.TA,NWC
1,Alessandria,207918,454,165588,10691,11.09,25.97,58.24,NA,8.82,0,1,0,4332
2,Milano,160615,259,97147,5348,10.07,29.73,54.64,NA,6.08,0,0.81,0.19,25171
3,Milano,146019,403,127722,3341,16.75,4.56,15.62,29.19,14.51,0,1,0,54151
4,Alessandria,141401,304,224664,-871,1.1,-1.03,-35.38,1.74,1.72,0.56,0.87,0.13,56141
5,Vicenza,126609,84,45174,3164,10.22,13.12,68.54,10.91,3.64,0.46,0.56,0.44,31643
6,Vicenza,121147,132,48912,1823,6.12,9.3,60.86,6.73,2.46,1.27,0.89,0.11,6754
7,Vicenza,89497,57,16707,339,3.79,5.93,53.51,4.71,0.71,1.36,1,0,3988
8,Treviso,82429,59,23785,732,1.02,12.75,301.52,1.24,0.29,2.42,0.94,0.06,1467
9,Alessandria,74621,67,89794,5573,9.63,17.25,64.43,16.84,11.58,0.59,0.94,0.06,35589
10,Treviso,67357,110,11301,-5158,-32.58,NA,NA,NA,-5.44,0,0.87,0.13,98
11,Treviso,63039,75,3757,179,-5.41,32.57,-87.83,NA,-0.32,0,1,0,568
12,Alessandria,60774,102,49069,4912,13.79,11.36,72.6,15.65,11.09,0,1,0,42851
13,Alessandria,57830,12,3358,65,4.9,2.31,39.21,5.9,0.28,0,1,0,2431
14,Vicenza,56318,104,16934,675,7.17,12.85,55.63,11.25,2.14,1.05,0.68,0.32,2094
15,Alessandria,51686,9,7196,-1068,-5.46,NA,NA,NA,-0.76,-1.18,1,0,-10027
16,Vicenza,45990,48,63798,-525,2.27,-2.03,-36.22,3.4,3.15,0.65,0.71,0.29,16551
17,Vicenza,45691,93,31974,3650,14.98,32.78,76.21,18.26,10.45,1.36,0.79,0.21,8145
18,Vicenza,41727,11,2927,226,14.75,19.17,52.38,19.9,1.03,0.84,0.37,0.63,2312
19,Vicenza,41399,65,17332,406,7.63,9.82,30.68,9.02,3.19,2.55,0.8,0.2,4245
20,Vicenza,39915,50,16674,1523,12.88,19.72,70.92,18.58,5.35,0.5,0.98,0.02,5624
21,Vicenza,34764,91,36287,1317,6.48,7.36,55.96,9.95,6.56,0.32,0.94,0.06,14100
22,Vicenza,33671,51,17666,-106,9.46,-2.38,-6.33,11.67,4.86,2.23,0.8,0.2,536
23,Padova,33401,31,16824,2,1.1,0.05,1.29,1.3,0.55,1.34,0.7,0.3,2965
24,Milano,32269,91,76176,-12925,3.12,-39.68,NA,4.01,7.26,0.82,0.68,0.32,30453
25,Vicenza,29090,63,13435,2053,23.01,22.17,66.42,NA,10.21,0,1,0,8799
26,Torino,24511,80,20970,547,4.39,5.9,59.48,5.35,3.73,0.58,0.6,0.4,11312
27,Vicenza,23079,39,20888,857,6.14,9.24,66.82,9.53,5.47,0.45,0.76,0.24,8608
28,Padova,22246,62,11379,462,5.42,8.02,74.96,6.9,2.74,0.55,0.89,0.11,4394
29,Vicenza,21864,73,28289,281,1.72,1.59,57.8,2.48,2.21,0.11,0.98,0.02,12257
30,Padova,19342,12,5481,85,2.11,1.68,73.58,2.28,0.6,0,1,0,1321
31,Alessandria,17287,31,22951,399,3.61,5.19,48.07,4.01,4.79,1.69,0.93,0.07,8859
32,Bergamo,16962,86,15854,-36348,-212.6,NA,NA,NA,NA,-0.41,1,0,-35123
33,Modena,16227,12,5834,13,4.79,0.86,4.67,5.9,1.71,2.1,0.88,0.12,1976
34,Alessandria,14897,65,14221,865,9,7.62,67.57,11.28,8.52,0,0.58,0.42,10449
35,Alessandria,14695,108,8154,158,6.04,14.31,31.99,10.86,3.35,3.12,0.63,0.37,3444
36,Vicenza,14262,20,2746,505,29.99,34.77,61.26,NA,5.75,0.27,0.5,0.5,1171
37,Alessandria,13308,79,16716,1772,14.88,16.92,71.23,18.08,18.62,0.3,0.52,0.48,10112
38,Trento,13221,21,9397,398,8.1,10.25,52.25,11.05,5.73,0.78,0.59,0.41,5830
39,Vicenza,13207,35,6170,37,1.59,2.26,38.03,2.14,0.73,1.58,0.52,0.48,1285
40,Milano,11983,41,5407,-155,-1.96,NA,NA,NA,-0.85,0,1,0,14
41,Alessandria,11913,22,15242,549,-0.59,9.19,NA,-1.51,-0.74,0,1,0,6419
42,Bologna,11813,28,9987,1,4,0.25,0.2,NA,3.37,20.8,1,0,-611
43,Vicenza,11554,17,3498,65,4.83,9.37,38.26,5.26,1.46,3.44,0.96,0.04,183
44,Torino,11487,49,12136,280,5.21,5.58,44.23,9.33,5.4,0.35,0.68,0.32,3467
45,Vicenza,11333,49,8535,790,14.3,24.07,64.73,26.68,10.62,0.39,0.93,0.07,4136
46,Milano,11132,53,22837,995,9.52,10.76,45.75,11.4,19.18,1.06,0.74,0.26,12022
47,Alessandria,10716,64,10624,24,3.67,0.52,6.1,6.94,3.59,0.04,0.86,0.14,4999
48,Varese,10490,86,10062,-486,-6.36,-7.9,NA,-8.19,-5.95,0.27,0.82,0.18,4997
49,Alessandria,10390,52,12217,57,3.79,9.02,12.33,7.48,4.28,8.79,0.91,0.09,1510
50,Milano,10246,1,2232,-49,-2.03,-24.28,NA,-6.81,-0.44,2.3,1,0,-34
51,Alessandria,10201,60,26424,6,1.29,0.05,1.66,1.93,3.31,0.41,0.83,0.17,10586
52,Milano,10169,16,9778,142,5.81,10.9,25.01,12.86,5.56,2.36,0.7,0.3,2052
53,Vicenza,10076,22,1741,-26,0.54,-2.89,-276.04,0.76,0.09,0.31,0.73,0.27,1027
54,Torino,9970,12,1538,221,21.02,59.07,68.23,NA,3.24,0,1,0,19
55,Vicenza,9880,53,5958,898,23.17,24.2,65.04,NA,13.86,0.06,0.95,0.05,2899
56,Alessandria,9800,80,12706,95,2.05,2.34,36.59,5.19,2.61,0.23,0.84,0.16,5754
57,Alessandria,9567,26,2431,197,11.63,18.88,69.75,16.55,2.93,0,1,0,1191
58,Bergamo,9515,36,12155,1178,14.82,20.13,65.43,NA,18.83,NA,0.72,0.28,2719
59,Padova,9240,13,2391,105,6.59,8.38,66.71,10.7,1.7,0.09,0.9,0.1,1367
60,Vicenza,9134,60,8254,174,3.37,67.37,62.43,5.26,2.66,19.51,0.73,0.27,1518
61,Alessandria,9001,42,12844,131,2.68,1.93,38.02,3.48,3.81,0.45,0.99,0.01,7136
62,Vicenza,8666,41,5325,214,6.71,6.68,59.71,8.69,4.12,0.04,0.42,0.58,3698
63,Vicenza,8468,6,1597,42,6.7,6.61,39.58,10.63,1.26,0.33,0.86,0.14,606
64,Treviso,8300,15,4096,11,7.06,1.04,3.9,8.63,3.48,2.1,0.65,0.35,606
65,Vicenza,8137,18,3499,23,-2.21,18.56,-29.35,-14.41,-0.95,3.39,0.87,0.13,592
66,Torino,7986,20,11363,66,2.44,5.32,23.86,5.22,3.43,3.27,0.67,0.33,3222
67,Vicenza,7865,22,1898,63,6.96,8.9,47.96,18.56,1.66,0,1,0,892
68,Alessandria,7663,30,8643,463,10.23,20.13,52.38,NA,11.41,NA,0.59,0.41,4576
69,Vicenza,7205,37,4209,181,7.59,23.43,56.73,13.89,4.37,1.97,0.93,0.07,920
70,Milano,7078,11,4834,20,-0.04,2.36,NA,-0.13,-0.03,0.38,1,0,612
71,Padova,6987,43,16928,-36,0.08,-0.25,-262.4,0.09,0.19,0.02,1,0,13428
72,Alessandria,6954,13,6421,430,11.7,21.5,57.21,24.74,10.79,0.52,0.96,0.04,2156
73,Milano,6940,21,8655,713,12.2,11.29,67.58,14.21,15.06,0.15,1,0,6373
74,Vicenza,6919,4,1277,16,-0.39,4.79,-320.3,-0.64,-0.07,1.32,0.87,0.13,474
75,Alessandria,6910,43,7975,136,3.63,7.58,46.78,5.4,4.18,2,0.79,0.21,1687
76,Vicenza,6849,21,5289,-33,-0.23,-1.02,NA,-0.3,-0.18,0.26,0.72,0.28,2990
77,Vicenza,6845,25,4635,-67,0.14,-5.2,NA,0.18,0.09,1.74,0.73,0.27,390
78,Milano,6835,7,9224,113,3.96,2.48,30.98,5.1,5.28,0.57,0.8,0.2,2537
79,Alessandria,6813,29,10635,230,2.42,3.05,89.44,3.41,3.76,0,1,0,8402
80,Vicenza,6765,NA,3498,-8,6.24,-3.5,-3.75,11.97,3.21,6.8,1,0,300
81,Padova,6632,97,30635,-1397,-4.97,-13.16,NA,-5.41,-21.14,0.24,0.17,0.83,16264
82,Vicenza,6565,45,14936,52,0.91,6.63,37.87,2.37,2.04,5.56,0.72,0.28,3704
83,Vicenza,6422,54,8197,27,2.63,0.95,12.6,3.31,3.31,1.14,0.54,0.46,2355
84,Alessandria,6400,27,12314,196,2.64,3.39,60.1,3.48,5.07,0.62,0.96,0.04,5642
85,Vicenza,6130,17,6251,407,9.04,9.02,71.99,NA,9.22,NA,0.75,0.25,3893
86,Vicenza,6076,44,8684,0,2.78,0.01,0.07,4.55,3.88,1.41,0.79,0.21,3450
87,Vicenza,6029,29,2983,119,6.84,10.56,58.39,14.46,3.34,0.25,1,0,531
88,Alessandria,5797,24,9106,7,4.12,0.28,1.91,NA,6.31,NA,1,0,2030
89,Alessandria,5739,22,11662,7,3.85,0.17,1.62,5.37,7.73,0.92,0.89,0.11,5246
90,Vicenza,5541,29,2119,-62,-1.04,-7.73,NA,-1.82,-0.39,0.51,1,0,507
91,Vicenza,5520,20,4850,7,2.3,4.04,6.01,4.58,1.8,13.66,0.2,0.8,2600
92,Alessandria,5317,41,6191,197,5.57,4.04,57.17,NA,6.48,NA,1,0,3710
93,Vicenza,5297,17,1748,44,4.66,4.47,53.44,6.65,1.53,0.26,0.44,0.56,1043
94,Vicenza,5242,28,1676,105,9.78,11.82,64.36,18.24,3.12,0.01,1,0,895
95,Milano,5074,3,1581,35,3.8,3.13,58.96,5.31,1.18,0,1,0,1097
96,Milano,4988,16,2635,129,8.63,30.29,56.62,NA,4.55,NA,0.85,0.15,567
97,Vicenza,4974,0,33114,-3553,-9.67,NA,NA,-11.69,NA,-5.13,1,0,-3503
98,Vicenza,4901,29,2744,15,9.44,4.59,5.68,13.54,5.26,4.97,0.83,0.17,282
99,Vicenza,4900,4,301,3,2.72,9.02,41.44,6.72,0.17,1.75,0.68,0.32,106
100,Genova,4864,2,5177,-3,0.46,-0.12,-12.54,NA,0.49,NA,1,0,2014
101,Alessandria,4707,20,2928,446,22.54,21.49,67.53,NA,13.98,NA,0.63,0.37,2354
102,Reggio nell'Emilia,4601,18,2856,162,8.31,12.55,68.16,NA,5.11,NA,1,0,938
103,Milano,4585,10,1628,55,5.05,33.5,67.26,16.96,1.79,0,0.78,0.22,367
104,Milano,4570,9,2934,127,7.75,31.68,55.95,26.77,4.92,0.85,0.83,0.17,154
105,Alessandria,4552,21,6930,-60,0.4,-1.9,-220.43,0.48,0.6,0.79,0.85,0.15,3445
106,Vicenza,4412,29,1675,161,-17.11,15.65,-56.32,-25.31,-6.44,0.1,1,0,1029
107,Vicenza,4368,27,5440,18,3.13,1.06,10.49,3.92,3.86,1.59,0.81,0.19,1192
108,Vicenza,4078,8,2014,1,3.26,0.22,0.9,4.63,1.57,3.16,0.68,0.32,910
109,Como,4073,22,6821,1204,20.97,23.83,84.16,28.14,NA,0.01,0.23,0.77,6032
110,Alessandria,4020,17,2347,64,5.53,68.64,49.01,16.25,3.22,7.62,0.93,0.07,168
111,Alessandria,3865,33,4431,893,26.96,26.39,74.75,NA,NA,0,1,0,2210
112,Vicenza,3661,NA,1594,-32,-0.59,NA,NA,NA,-0.26,NA,1,0,39
113,Milano,3628,12,9992,-197,-2.76,-3.48,NA,-3.82,-7.58,0.23,0.93,0.07,5981
114,Bergamo,3592,10,3871,312,12.6,12.64,63.89,14.38,13.05,0.38,1,0,2078
115,Vicenza,3539,13,1653,27,3.74,4.24,43.18,5.45,1.73,0.8,0.96,0.04,204
116,Reggio nell'Emilia,3534,70,4872,-1704,-30.09,NA,NA,NA,-40.57,37.75,0.68,0.32,86
117,Milano,3532,5,7546,0,0.51,0,-0.3,NA,1.07,NA,1,0,1183
118,Milano,3525,70,4300,0,1.7,0.14,0.2,5.13,1.93,13.03,0.81,0.19,893
119,Padova,3496,9,2110,69,4.07,5.01,80.72,4.99,2.45,0.24,0.64,0.36,1242
120,Vicenza,3471,8,582,2,11.42,8.43,2.38,NA,1.9,0.24,1,0,97
121,Vicenza,3447,28,1542,13,6.06,2.62,13.38,13.49,2.71,0.45,0.93,0.07,869
122,Alessandria,3436,31,2368,224,11.61,78.87,81.4,NA,7.69,3.38,1,0,323
123,Vicenza,3435,4,301,-33,-5.04,NA,NA,-18.26,-0.44,-15.59,1,0,-61
124,Padova,3367,16,4593,31,4.37,7.72,15.47,5.67,5.72,5.94,0.59,0.41,407
125,Vicenza,3363,7,1524,20,2.88,3.17,46.17,NA,1.3,NA,0.84,0.16,578
126,Alessandria,3359,17,5961,123,4.3,3.11,47.75,NA,7.29,NA,0.79,0.21,1573
127,Vicenza,3354,29,1604,43,9.21,12.52,29.29,17.11,4.39,1.5,0.79,0.21,778
128,Milano,3295,13,15947,-4292,-24.62,-101.58,NA,NA,NA,1.17,1,0,3705
129,Treviso,3235,24,6386,-1919,-13.86,NA,NA,5.4,-6.73,-0.69,1,0,-34385
130,Vicenza,3199,17,2773,58,1.52,11.09,137.49,NA,1.27,NA,0.31,0.69,1925
131,Milano,3186,28,1727,358,27.02,56.36,76.73,NA,13.62,NA,0.64,0.36,687
132,Vicenza,3140,NA,3268,-1013,-23.25,NA,NA,NA,-24.19,-5.47,0.71,0.29,755
133,Vicenza,3113,33,3940,2,0.16,0.07,31.7,0.2,0.2,0.04,0.73,0.27,3281
134,Alessandria,3084,22,3066,94,5.02,13.32,61.21,9.1,4.85,1.2,0.73,0.27,1437
135,Vicenza,3083,4,2275,2,1.37,18.36,7.24,NA,0.99,0.09,0.51,0.49,939
136,Alessandria,3075,36,3404,492,21.4,25.37,67.49,NA,23.57,NA,0.88,0.12,1188
137,Milano,3074,15,2733,8,3.09,1.29,9.4,NA,2.69,NA,0.66,0.34,834
138,Vicenza,3035,5,118,-841,-760.51,NA,NA,NA,-29.57,-0.53,0.69,0.31,-492
139,Alessandria,2975,14,1767,139,13.87,14.55,56.63,17.79,8.21,0.42,0.85,0.15,953
140,Alessandria,2971,32,2692,552,30.25,38.93,67.72,NA,27.4,0.41,0.76,0.24,1090
141,Alessandria,2969,23,3032,13,2.5,1.86,16.92,NA,2.5,NA,0.9,0.1,560
142,Vicenza,2913,22,2835,628,33.56,49.99,66.04,NA,NA,NA,0.53,0.47,970
143,Alessandria,2909,20,1883,11,3.07,5.06,18.51,NA,1.98,NA,0.8,0.2,628
144,Milano,2871,6,2588,1,0.92,0.04,2.84,1.18,0.81,0.23,0.61,0.39,1878
145,Vicenza,2838,16,2591,138,8.6,57.97,62.07,NA,7.78,1.37,0.94,0.06,-547
146,Verona,2760,19,1536,19,7.48,9.18,16.34,NA,3.24,4.69,0.5,0.5,577
147,Milano,2754,14,1898,390,33.04,37.6,62.13,NA,22.34,NA,1,0,887
148,Alessandria,2735,17,3175,167,6.81,11.27,77.21,11.46,7.82,0.12,0.83,0.17,1905
149,Venezia,2724,16,3008,8,0.63,0.43,44.54,0.92,0.67,0.05,0.92,0.08,1720
150,Vicenza,2719,14,678,111,23.67,71.53,69.13,NA,5.84,0,1,0,135
151,Vicenza,2712,0,1962,121,6.76,7.57,91.1,7.88,4.62,0.05,1,0,1559
152,Alessandria,2707,13,1596,111,14.27,13.14,48.73,26.97,8.39,0,1,0,988
153,Bolzano/Bozen,2689,13,5661,273,7.91,14.05,61.03,8.65,15.35,0.7,0.27,0.73,1437
154,Vicenza,2678,23,3792,212,7.75,7.86,72.07,NA,10.87,NA,1,0,1378
155,Alessandria,2658,12,1979,339,23.11,26.58,74.23,NA,17.01,0.11,0.65,0.35,1461
156,Alessandria,2648,14,6165,-91,-0.9,-2.85,NA,-1.14,-2.09,0.25,0.53,0.47,4737
157,Bologna,2633,14,4007,-296,-3.99,-25.29,NA,-7.87,-5.47,0.03,1,0,1113
158,Torino,2616,2,487,-192,-36.62,-42.28,NA,NA,-6.74,0,1,0,300
159,Alessandria,2611,16,2687,-147,-3.5,-21.79,NA,NA,-3.59,NA,0.92,0.08,1054
160,Vicenza,2543,23,2464,42,3.24,4.76,52.6,5.19,3.08,0.75,0.85,0.15,471
161,Vicenza,2534,2,1961,94,6.31,7.96,76.35,7.45,4.81,0.18,0.48,0.52,702
162,Vicenza,2514,15,1049,35,7.23,12.35,45.82,NA,3.02,NA,1,0,460
163,Vicenza,2469,21,2980,-15,0.98,-0.79,-52.31,NA,1.16,NA,1,0,1846
164,Alessandria,2460,38,1506,210,21.72,22.18,64.18,NA,13.3,0,1,0,612
165,Alessandria,2442,9,2022,58,6.91,11.29,41.36,9.83,5.66,1.41,0.8,0.2,808
166,Vicenza,2439,3,499,35,8.36,10.83,83.64,NA,1.71,NA,0.23,0.77,250
167,Vicenza,2429,19,1499,-66,1.01,-96.43,-434.42,2.5,0.63,7.89,1,0,77
168,Milano,2412,18,5389,147,4.68,3.96,58.25,6.14,10.45,0.02,0.61,0.39,3316
169,Alessandria,2388,15,6235,-236,-0.98,-17.41,NA,-1.61,-2.4,1.67,0.53,0.47,4013
170,Treviso,2363,20,3123,67,17.3,2.72,12.35,NA,22.22,NA,1,0,2479
171,Trento,2320,12,3280,6,2.48,2.62,7.44,7.68,3.37,3.59,0.91,0.09,66
172,Ravenna,2289,11,2376,55,9.92,39.25,23.45,NA,9.31,4.38,0.7,0.3,849
173,Alessandria,2289,25,957,-1470,-145.7,NA,NA,NA,NA,-0.4,1,0,-1273
174,Vicenza,2269,1,1064,21,6.12,11.92,32.91,22.04,2.86,0.64,1,0,218
175,Vicenza,2261,NA,2855,-3850,-132.41,NA,NA,NA,NA,-1,0.42,0.58,407
176,Vicenza,2234,9,1954,92,7.05,6.06,66.53,NA,6.17,NA,0.96,0.04,1401
177,Alessandria,2221,12,6444,-709,-10.66,-15.26,NA,-14.71,-30.22,0.01,0.13,0.87,6132
178,Vicenza,2200,14,824,27,4.44,7.69,74.13,10.37,1.65,0,1,0,668
179,Vicenza,2171,26,2831,-50,-1.84,-3.35,NA,-3.33,-2.4,0.05,1,0,2234
180,Vicenza,2139,0,1012,-617,-61.08,-61.67,NA,NA,-28.9,NA,1,0,1000
181,Vicenza,2110,14,1031,7,3.54,3.31,19.55,5.38,1.72,2.14,0.7,0.3,155
182,Bolzano/Bozen,2110,13,1107,14,5.04,11.05,25.1,NA,2.6,0.01,1,0,59
183,Padova,2057,9,2907,3,1.46,0.27,6.86,NA,2.03,NA,0.44,0.56,1023
184,Treviso,2056,9,1101,25,5.71,12.39,40.06,NA,2.08,NA,0.88,0.12,118
185,Bergamo,1989,17,4661,10,1.48,1.08,14.33,3.77,3.42,0.89,0.55,0.45,380
186,Milano,1981,9,2585,-1,0.58,-0.04,-3.76,0.73,0.75,0,1,0,1239
187,Ferrara,1971,13,2393,590,34.12,32.98,72.32,NA,NA,0,1,0,1308
188,Bergamo,1912,16,1757,266,22.8,22.03,66.42,NA,20.1,NA,0.93,0.07,683
189,Alessandria,1906,5,2999,117,5.34,7.74,72.95,8.4,8.4,0.26,0.79,0.21,1937
190,Milano,1899,18,1619,1,2.37,0.11,1.58,4.32,2.02,0.16,0.62,0.38,1041
191,Vicenza,1878,29,1247,-814,-58.65,NA,NA,NA,-38.36,-9.39,0.92,0.08,62
192,Alessandria,1874,22,2107,27,3.81,1.97,33.23,5.62,4.2,0.06,0.86,0.14,1401
193,Vicenza,1847,23,2161,15,4.2,2.44,16.33,7.38,4.83,1.02,0.78,0.22,334
194,Alessandria,1837,9,1678,336,29.23,25.29,68.61,NA,26.44,0,1,0,1217
195,Verbano-Cusio-Ossola,1834,15,1409,3,2.52,4.29,7.89,19.38,1.94,1.81,0.86,0.14,-83
196,Vicenza,1802,15,2638,34,4.18,8.46,30.41,NA,6.1,3.58,0.83,0.17,-264
197,Treviso,1795,21,11698,32,0.48,0.36,57.45,0.55,3.11,0,0.44,0.56,6211
198,Vicenza,1774,16,1137,26,5.99,14.07,38.28,10.87,3.83,2.38,1,0,258
199,Milano,1763,15,2016,9,9.24,6.67,4.77,NA,9.73,NA,0.75,0.25,568
200,Venezia,1760,20,2959,207,10.56,9.35,66.3,14.1,17.32,0,1,0,349
201,Monza e della Brianza,1753,15,1951,286,22.84,29.9,64.18,NA,25.39,0.33,0.62,0.38,568
202,Vicenza,1747,6,1628,-164,-1.98,-56.35,NA,-2.94,-1.73,2.76,0.94,0.06,282
203,Alessandria,1735,18,1169,46,9.76,17.51,40.73,NA,6.55,NA,0.96,0.04,340
204,Bergamo,1720,7,1236,30,4.35,6.59,56.45,NA,3.04,NA,1,0,380
205,Vicenza,1713,14,2379,95,7.89,32.72,50.84,13.11,10.89,3.28,0.82,0.18,-93
206,Vicenza,1712,10,1139,3,3.82,1.65,7.19,NA,2.52,NA,0.44,0.56,757
207,Alessandria,1712,9,671,-273,-51.02,-64.61,NA,NA,-19.38,NA,1,0,431
208,Vicenza,1707,NA,2990,-2356,-75.04,NA,NA,NA,NA,-1.62,0.82,0.18,-3192
209,Vicenza,1698,5,1483,17,1.58,2.79,73.46,NA,1.35,NA,0.49,0.51,738
210,Alessandria,1695,4,3906,78,3.63,3.53,55.2,5.36,8.36,0.19,0.91,0.09,2866
211,Alessandria,1678,10,1228,220,28.15,25.39,63.67,NA,20.61,NA,1,0,759
212,Vicenza,1668,1,2560,787,44.86,30.85,68.55,NA,NA,0,1,0,2512
213,Alessandria,1665,5,2539,12,1.36,0.68,33.56,NA,2.05,NA,0.62,0.38,1870
214,Brescia,1653,7,2014,67,7.48,16.42,44.72,NA,8.91,NA,0.9,0.1,325
215,Vicenza,1626,11,1439,210,22.2,18.79,65.73,28.59,19.63,0,1,0,872
216,Alessandria,1623,NA,2034,-1168,-46.85,NA,NA,NA,NA,-0.85,0.98,0.02,-846
217,Vicenza,1607,9,1043,12,5.07,15.03,21.83,NA,3.24,NA,0.95,0.05,-108
218,Cremona,1595,10,1454,2,3.31,0.94,4.84,5.39,2.98,2.6,0.66,0.34,65
219,Milano,1579,5,1110,53,12.14,23.35,39.68,28.69,8.48,0.94,0.92,0.08,387
220,Alessandria,1573,15,1536,31,3.17,4.8,62.95,4.02,3.08,0.9,0.71,0.29,642
221,Rimini,1570,NA,1460,34,-1.38,6.96,-166.25,-2.58,-1.27,0.62,1,0,483
222,Vicenza,1568,9,1003,81,13.69,19.9,59.3,NA,8.69,NA,1,0,119
223,Alessandria,1559,7,877,12,4.08,3.48,34.43,NA,2.29,NA,0.99,0.01,230
224,Vicenza,1557,10,1109,26,4.54,3.26,51.76,6.3,3.22,0,1,0,539
225,Vicenza,1543,32,2765,-739,-25.61,-81.56,NA,NA,-44.62,0.81,0.62,0.38,1714
226,Alessandria,1541,15,2496,269,15.08,12.59,71.45,NA,24.18,NA,0.98,0.02,1424
227,Milano,1524,9,2701,-197,-5.75,-30.01,NA,-8.82,-10.11,1.68,1,0,410
228,Vicenza,1516,16,1869,89,5.25,7.66,91.27,8.39,6.46,0,1,0,1504
229,Bologna,1503,9,843,55,15.89,56.46,41.14,NA,8.91,NA,1,0,138
230,Venezia,1501,4,744,6,10.39,32.3,7.12,NA,5.1,6.97,1,0,-13
231,Verona,1500,13,1062,2,2.62,0.85,6.48,NA,1.81,NA,0.87,0.13,209
232,Milano,1500,13,4762,3,-4.42,0.85,-1.46,-6.31,-13.63,6.1,0.65,0.35,855
233,Torino,1493,38,3266,-475,-10.6,NA,NA,NA,-22.79,-2.59,0.78,0.22,186
234,Alessandria,1480,14,1936,27,3.04,2.46,45.36,4.73,3.92,0.13,0.79,0.21,1351
235,Alessandria,1460,22,1101,182,26.22,46.41,63.22,NA,19.62,NA,0.65,0.35,362
236,Vicenza,1451,7,807,17,6.02,6.25,34.27,10.71,3.31,0.68,0.91,0.09,-144
237,Vicenza,1450,6,352,-3,1.74,-5.01,-51.36,NA,0.42,NA,0.81,0.19,75
238,Vicenza,1427,9,516,1,3.22,0.68,4.99,NA,1.15,NA,0.85,0.15,247
239,Alessandria,1427,2,1209,80,9.87,19.67,66.75,26.03,8.36,0,0.94,0.06,400
240,Milano,1424,11,1708,-890,-50.72,NA,NA,NA,NA,0,1,0,-841
241,Alessandria,1406,24,878,-10,2.04,-9.74,-55.29,NA,1.27,NA,0.81,0.19,91
242,Alessandria,1403,7,324,-74,-22.11,-49.12,NA,NA,-4.96,NA,1,0,45
243,Vicenza,1402,5,1368,11,2.08,7.61,40.36,3.13,2.02,3.57,0.37,0.63,473
244,Vicenza,1396,7,268,5,7.48,30.65,24.03,NA,1.44,0,1,0,19
245,Alessandria,1395,18,3622,-450,-4.2,NA,NA,-6.28,-10.16,-61.03,0.79,0.21,58
246,Vicenza,1389,6,360,6,8.15,6.11,19.17,19.84,2.09,0.61,1,0,41
247,Bergamo,1378,NA,2206,-1002,-40.56,-56.44,NA,NA,NA,0.16,0.67,0.33,1739
248,Vicenza,1371,17,1261,2,2.79,0.72,4.5,4.13,2.55,2.87,0.54,0.46,298
249,Milano,1365,0,579,12,7.95,17.49,26.07,13.6,3.33,3.62,0.89,0.11,60
250,Vicenza,1363,7,1480,36,6.1,6.95,40.27,9.46,5.26,0.82,0.96,0.04,353
251,Alessandria,1362,31,926,226,30.06,47.96,81.24,NA,20.35,0,1,0,523
252,Milano,1361,7,1363,215,22.31,19.6,70.83,27.67,22.27,0,1,0,1077
253,Milano,1358,10,1030,269,37.06,42.29,70.56,NA,28.02,0.1,0.83,0.17,538
254,Vicenza,1357,8,1701,2,0.86,0.15,10.32,NA,1.01,NA,0.62,0.38,963
255,Vicenza,1346,26,2092,-305,-10.27,NA,NA,-23.61,-15.84,6.6,0.92,0.08,349
256,Milano,1343,11,1965,205,14.47,11.99,72.18,16.61,21.08,0,1,0,1794
257,Padova,1317,3,1060,3,-13.68,2.91,-2.06,-23.58,-10.94,4.21,1,0,101
258,Vicenza,1317,25,905,-1996,-173.95,NA,NA,NA,NA,-0.58,1,0,-1552
259,Vicenza,1312,11,724,39,8.33,24.91,63.94,NA,4.59,NA,1,0,81
260,Vicenza,1290,13,926,11,3.39,7.08,35.93,NA,2.42,NA,1,0,39
261,Alessandria,1284,26,1216,17,5.36,2.29,25.53,NA,5.07,NA,0.91,0.09,520
262,Cremona,1276,NA,338,-806,-232.42,NA,NA,NA,NA,-0.25,1,0,-806
263,Alessandria,1275,NA,3002,-221,-1.13,NA,NA,-3.09,-2.49,23.92,0.93,0.07,218
264,Rimini,1272,12,1177,6,8.77,4.65,5.44,11.99,8.09,6.13,0.77,0.23,284
265,Alessandria,1263,12,1126,-1105,-93.88,NA,NA,NA,NA,-0.35,0.78,0.22,-433
266,Alessandria,1258,5,1226,71,11.31,10.33,51.41,17.48,10.81,0.15,1,0,799
267,Vicenza,1256,0,1494,15,1.28,1.26,78.7,NA,1.49,NA,1,0,392
268,Venezia,1254,15,6019,3,0.32,0.05,13.41,0.34,1.51,0,1,0,879
269,Vicenza,1251,6,1647,6,3.93,2.56,9.04,NA,5.08,NA,0.8,0.2,534
270,Milano,1247,12,1991,-767,-30.67,NA,NA,NA,-48.41,-1.03,1,0,-316
271,Vicenza,1245,12,1607,1,2.65,27.23,1.3,8.5,3.4,242.25,0.77,0.23,379
272,Venezia,1244,3,1901,16,2.01,1.18,42.49,NA,3.08,NA,1,0,1372
273,Vicenza,1241,15,978,-42,-2.68,-19.16,NA,-4.8,-2.11,1.51,0.74,0.26,404
274,Vicenza,1220,6,610,10,3.52,10.42,44.34,6.34,1.75,2.22,0.96,0.04,-36
275,Varese,1207,6,1306,108,12.63,12.97,65.17,NA,13.54,NA,0.76,0.24,948
