CID,Province,Revenue,Employees,Total_Asset,Profit,ROA,ROE,P.L.O,ROI,ROS,Debt.Equity.,CL.TA,L.TA,NWC
621,Alessandria,281,2,1852,14,1.29,1.03,59.9,1.42,8.29,0.06,0.41,0.59,1554
622,Milano,281,2,414,-93,-22.54,-43.86,NA,NA,-33.15,NA,1,0,169
623,Vicenza,281,5,367,13,8.59,23,40.01,NA,11.2,NA,1,0,158
624,Vicenza,281,NA,605,9,-3.75,7.31,-41.72,-8.52,-8.05,1.06,1,0,33
625,Novara,277,0,453,6,3.51,2.47,38.24,3.92,5.69,0.22,0.46,0.54,344
626,Vicenza,273,6,397,-25,-5.78,NA,NA,NA,-8.13,NA,0.14,0.86,165
627,Bologna,272,0,197,-16,5.27,NA,-153.16,8.31,3.8,-1.19,0.66,0.34,-11
628,Vicenza,271,2,250,-10,-3.98,-67.4,NA,NA,-3.67,NA,0.8,0.2,-87
629,Vicenza,271,1,196,-7,-3.91,-48.26,NA,-13.53,-2.84,1.85,0.9,0.1,7
630,Novara,269,2,472,17,7.61,31.78,47.12,NA,13.28,NA,0.8,0.2,135
631,Bologna,269,2,592,17,4.71,5.59,60.82,NA,10.38,NA,0.73,0.27,290
632,Alessandria,268,6,269,8,8.75,6.65,36.05,18.22,8.71,0.01,1,0,224
633,Milano,268,5,2231,-393,-15.87,NA,NA,NA,NA,-2.92,0.69,0.31,-652
634,Milano,265,3,830,0,0.41,0,0.44,0.45,1.29,0,1,0,749
635,Bergamo,265,2,251,56,31.28,45.05,71.16,NA,27.16,NA,1,0,-52
636,Bergamo,265,NA,232,2,6.65,13.58,11.96,NA,5.83,NA,1,0,1
637,Milano,264,4,80,27,52.86,41.35,63.12,NA,15.2,0,1,0,61
638,Milano,264,4,977,6,2.3,2.64,25.74,2.62,7.87,2.33,0.49,0.51,321
639,Alessandria,260,1,333,10,5.11,3.81,57.92,NA,6.49,NA,0.91,0.09,252
640,Alessandria,254,1,364,12,8.44,7.57,38.58,9.06,12.01,1.17,0.38,0.62,180
641,Torino,253,5,519,2,2.31,-23.73,12.85,14.95,4.73,-13.35,0.92,0.08,-108
642,Alessandria,252,2,124,9,15.73,13.79,43.84,27.38,7.73,0.15,1,0,41
643,Verona,250,1,136,-10,-4.61,NA,NA,NA,-2.5,NA,1,0,5
644,Alessandria,246,5,704,2,4.25,1.3,7.26,NA,12.13,NA,0.2,0.8,41
645,Forlì-Cesena,245,3,216,28,18.26,28.62,71.78,NA,16.1,NA,0.6,0.4,138
646,Vicenza,243,7,150,15,13.1,47.27,77.48,NA,8.07,NA,1,0,24
647,Ravenna,242,5,235,2,1.18,10.41,57.18,NA,1.14,NA,1,0,37
648,Vicenza,241,0,215,13,8.59,42.48,67.89,NA,7.22,0.08,0.87,0.13,23
649,Alessandria,241,2,113,17,23.68,50.64,62.07,NA,11.07,NA,0.9,0.1,36
650,Treviso,241,4,188,-114,-51.61,NA,NA,NA,-37.67,-1.53,1,0,-112
651,Milano,239,6,266,0,6.2,0.42,1.11,15.97,6.91,1.38,1,0,137
652,Alessandria,236,3,248,-25,-2.4,NA,NA,-6.87,-2.52,-18.05,0.45,0.55,107
653,Treviso,236,2,347,-39,-10.61,-28.14,NA,-17.39,-14.76,0.46,1,0,189
654,Milano,233,NA,207,-2,1.5,-1.62,-52.1,3.12,1.33,0,1,0,92
655,Alessandria,230,1,1309,14,2.17,1.85,49.18,NA,12.33,NA,1,0,766
656,Vicenza,230,3,14,-551,NA,NA,NA,NA,NA,-0.04,0.98,0.02,-500
657,Vicenza,230,1,2991,-95,-3.23,-4.33,NA,-3.31,-40.63,0,0.08,0.92,2863
658,Padova,229,2,211,9,11.95,40.75,37.38,NA,11.04,NA,0.98,0.02,28
659,Vicenza,227,2,128,20,24.47,26.99,63.54,NA,13.43,NA,1,0,65
660,Torino,225,1,146,16,16.63,11.36,63.95,NA,10.81,NA,1,0,136
661,Alessandria,224,2,673,-46,-6.36,-115.86,NA,NA,-18.88,NA,0.66,0.34,258
662,Milano,223,6,277,-62,-20.83,NA,NA,NA,-25.86,2.6,1,0,7
663,Vicenza,222,2,598,19,-5.22,11.42,-59.51,NA,-13.97,NA,0.35,0.65,427
